epsilon,system,class,d_prime,hit_rate,fa_rate,beta
0.0,Resnet,airplane,4.447367726447196,0.9625374625374625,0.0038329074547272524,0.13957941194173162
0.0,Resnet,automobile,4.911411598637335,0.9845154845154845,0.0029441173202977445,0.23113419781452466
0.0,Resnet,bird,4.205812919765128,0.9525474525474525,0.005610487723586268,0.16195767438746989
0.0,Resnet,cat,3.6002952240804578,0.8866133866133866,0.00838795689367848,0.11891573360703432
0.0,Resnet,deer,4.395376651953945,0.9685314685314685,0.005610487723586268,0.22630583593190615
0.0,Resnet,dog,3.805288051124555,0.9295704295704296,0.00983224086212643,0.1946709777729003
0.0,Resnet,frog,4.701956117292683,0.9775224775224776,0.003499611154316187,0.19663192976939878
0.0,Resnet,horse,4.725556435288802,0.9705294705294706,0.002277524719475614,0.10639451144316281
0.0,Resnet,ship,4.7846002584972,0.9775224775224776,0.0027219197866903675,0.15681035442668226
0.0,Resnet,truck,4.682628613962772,0.9675324675324676,0.002277524719475614,0.09819943896739856
0.01,Resnet,airplane,2.6794382727758217,0.7487512487512488,0.02227530274413954,0.16646729182949607
0.01,Resnet,automobile,3.4488741925582262,0.8926073926073926,0.013609598933451839,0.18843753297919486
0.01,Resnet,bird,2.377160336382908,0.7137862137862138,0.034940562159760026,0.22682275254582912
0.01,Resnet,cat,1.698847503725589,0.512987012987013,0.04782801910898789,0.24964184129668865
0.01,Resnet,deer,2.509525752169939,0.7437562437562437,0.03182979668925675,0.22197347300220835
0.01,Resnet,dog,2.1064403656825403,0.6768231768231768,0.049716698144650594,0.2859209690046548
0.01,Resnet,frog,2.8261032747085832,0.8016983016983017,0.023941784246194867,0.20235460658263377
0.01,Resnet,horse,2.9665476080595408,0.7777222777222778,0.013831796467059216,0.11857524674305969
0.01,Resnet,ship,3.1545104905028127,0.8516483516483516,0.017386957004777246,0.18569594819339033
0.01,Resnet,truck,3.1156759322606273,0.8366633366633367,0.01638706810354405,0.16567135011148826
0.05,Resnet,airplane,-1.189480079531164,0.004495504495504496,0.07738029107876902,11.02275045324657
0.05,Resnet,automobile,0.22985100394303482,0.10539460539460539,0.06927008110209977,0.7304818536958747
0.05,Resnet,bird,-1.2624408167119263,0.012487512487512488,0.16370403288523497,7.63885165354929
0.05,Resnet,cat,-1.0710661764097635,0.017482517482517484,0.14970558826797023,5.392631344933596
0.05,Resnet,deer,-1.3134006221074144,0.008491508491508492,0.14148427952449727,9.705332300575757
0.05,Resnet,dog,-1.1716123347175436,0.014485514485514486,0.1557049216753694,6.503390267555205
0.05,Resnet,frog,-0.7466617096513106,0.02047952047952048,0.09726697033662926,3.481221228435325
0.05,Resnet,horse,-0.37975834484857995,0.02147852147852148,0.05004999444506166,2.0068595326792007
