epsilon,system,class,class_idx,d_prime,beta,hit_rate,fa_rate,hits,misses,false_alarms,correct_rejections
0.0,ResNet,airplane,0,4.447367726447196,0.13957941194173162,0.9625374625374625,0.0038329074547272524,963.0,37.0,34.0,8966.0
0.0,ResNet,automobile,1,4.911411598637335,0.23113419781452466,0.9845154845154845,0.0029441173202977445,985.0,15.0,26.0,8974.0
0.0,ResNet,bird,2,4.205812919765128,0.16195767438746989,0.9525474525474525,0.005610487723586268,953.0,47.0,50.0,8950.0
0.0,ResNet,cat,3,3.6002952240804578,0.11891573360703432,0.8866133866133866,0.00838795689367848,887.0,113.0,75.0,8925.0
0.0,ResNet,deer,4,4.395376651953945,0.22630583593190615,0.9685314685314685,0.005610487723586268,969.0,31.0,50.0,8950.0
0.0,ResNet,dog,5,3.805288051124555,0.1946709777729003,0.9295704295704296,0.00983224086212643,930.0,70.0,88.0,8912.0
0.0,ResNet,frog,6,4.701956117292683,0.19663192976939878,0.9775224775224776,0.003499611154316187,978.0,22.0,31.0,8969.0
0.0,ResNet,horse,7,4.725556435288802,0.10639451144316281,0.9705294705294706,0.002277524719475614,971.0,29.0,20.0,8980.0
0.0,ResNet,ship,8,4.7846002584972,0.15681035442668226,0.9775224775224776,0.0027219197866903675,978.0,22.0,24.0,8976.0
0.0,ResNet,truck,9,4.682628613962772,0.09819943896739856,0.9675324675324676,0.002277524719475614,968.0,32.0,20.0,8980.0
0.01,ResNet,airplane,0,2.6794382727758217,0.16646729182949607,0.7487512487512488,0.02227530274413954,749.0,251.0,200.0,8800.0
0.01,ResNet,automobile,1,3.4488741925582262,0.18843753297919486,0.8926073926073926,0.013609598933451839,893.0,107.0,122.0,8878.0
0.01,ResNet,bird,2,2.377160336382908,0.22682275254582912,0.7137862137862138,0.034940562159760026,714.0,286.0,314.0,8686.0
0.01,ResNet,cat,3,1.698847503725589,0.24964184129668865,0.512987012987013,0.04782801910898789,513.0,487.0,430.0,8570.0
0.01,ResNet,deer,4,2.509525752169939,0.22197347300220835,0.7437562437562437,0.03182979668925675,744.0,256.0,286.0,8714.0
0.01,ResNet,dog,5,2.1064403656825403,0.2859209690046548,0.6768231768231768,0.049716698144650594,677.0,323.0,447.0,8553.0
0.01,ResNet,frog,6,2.8261032747085832,0.20235460658263377,0.8016983016983017,0.023941784246194867,802.0,198.0,215.0,8785.0
0.01,ResNet,horse,7,2.9665476080595408,0.11857524674305969,0.7777222777222778,0.013831796467059216,778.0,222.0,124.0,8876.0
0.01,ResNet,ship,8,3.1545104905028127,0.18569594819339033,0.8516483516483516,0.017386957004777246,852.0,148.0,156.0,8844.0
0.01,ResNet,truck,9,3.1156759322606273,0.16567135011148826,0.8366633366633367,0.01638706810354405,837.0,163.0,147.0,8853.0
0.05,ResNet,airplane,0,-1.189480079531164,11.02275045324657,0.004495504495504496,0.07738029107876902,4.0,996.0,696.0,8304.0
0.05,ResNet,automobile,1,0.22985100394303482,0.7304818536958747,0.10539460539460539,0.06927008110209977,105.0,895.0,623.0,8377.0
0.05,ResNet,bird,2,-1.2624408167119263,7.63885165354929,0.012487512487512488,0.16370403288523497,12.0,988.0,1473.0,7527.0
0.05,ResNet,cat,3,-1.0710661764097635,5.392631344933596,0.017482517482517484,0.14970558826797023,17.0,983.0,1347.0,7653.0
0.05,ResNet,deer,4,-1.3134006221074144,9.705332300575757,0.008491508491508492,0.14148427952449727,8.0,992.0,1273.0,7727.0
0.05,ResNet,dog,5,-1.1716123347175436,6.503390267555205,0.014485514485514486,0.1557049216753694,14.0,986.0,1401.0,7599.0
0.05,ResNet,frog,6,-0.7466617096513106,3.481221228435325,0.02047952047952048,0.09726697033662926,20.0,980.0,875.0,8125.0
0.05,ResNet,horse,7,-0.37975834484857995,2.0068595326792007,0.02147852147852148,0.05004999444506166,21.0,979.0,450.0,8550.0
0.05,ResNet,ship,8,-0.642097493461133,2.8810556955875644,0.024475524475524476,0.09226752583046328,24.0,976.0,830.0,8170.0
0.05,ResNet,truck,9,-0.19391851129072046,1.332333368394364,0.05744255744255744,0.0833796244861682,57.0,943.0,750.0,8250.0
0.1,ResNet,airplane,0,-1.7429360582246782,67.81305573943918,0.0004995004995004995,0.06082657482501944,0.0,1000.0,547.0,8453.0
0.1,ResNet,automobile,1,-0.7650871058204674,4.3641294043488585,0.01048951048951049,0.061382068659037885,10.0,990.0,552.0,8448.0
0.1,ResNet,bird,2,-2.375154889285175,147.74652772955147,0.0004995004995004995,0.1799244528385735,0.0,1000.0,1619.0,7381.0
0.1,ResNet,cat,3,-1.373329233104561,11.000467340945391,0.007492507492507493,0.14470614376180424,7.0,993.0,1302.0,7698.0
0.1,ResNet,deer,4,-2.3275282218264968,141.28152101140628,0.0004995004995004995,0.16770358849016775,0.0,1000.0,1509.0,7491.0
0.1,ResNet,dog,5,-2.2116658237606517,125.5161654762971,0.0004995004995004995,0.1402621930896567,0.0,1000.0,1262.0,7738.0
0.1,ResNet,frog,6,-1.6769484039208704,27.15911503913259,0.0024975024975024975,0.12915231640928787,2.0,998.0,1162.0,7838.0
0.1,ResNet,horse,7,-1.6166555428193536,55.33000225856895,0.0004995004995004995,0.04705032774136207,0.0,1000.0,423.0,8577.0
0.1,ResNet,ship,8,-1.6816675164088657,35.775464376621755,0.0014985014985014985,0.09915564937229197,1.0,999.0,892.0,8108.0
0.1,ResNet,truck,9,-1.5565326297332625,30.218738615866936,0.0014985014985014985,0.07904677258082435,1.0,999.0,711.0,8289.0
0.2,ResNet,airplane,0,-1.5143547905756662,46.37755101694895,0.0004995004995004995,0.03782913009665593,0.0,1000.0,340.0,8660.0
0.2,ResNet,automobile,1,-1.2394387853829982,18.36792670951743,0.0014985014985014985,0.0419397844683924,1.0,999.0,377.0,8623.0
0.2,ResNet,bird,2,-2.4167168512159374,153.34507795393108,0.0004995004995004995,0.19103432951894234,0.0,1000.0,1719.0,7281.0
0.2,ResNet,cat,3,-2.166184882272167,119.38098123592877,0.0004995004995004995,0.13037440284412843,0.0,1000.0,1173.0,7827.0
0.2,ResNet,deer,4,-2.377692978205994,148.08981427302146,0.0004995004995004995,0.18059104543939564,0.0,1000.0,1625.0,7375.0
0.2,ResNet,dog,5,-1.9638876331938941,93.16290860789928,0.0004995004995004995,0.09226752583046328,0.0,1000.0,830.0,8170.0
0.2,ResNet,frog,6,-2.604118773479727,177.49410554539287,0.0004995004995004995,0.24613931785357182,0.0,1000.0,2215.0,6785.0
0.2,ResNet,horse,7,-1.4009072661587028,37.669326677267996,0.0004995004995004995,0.0293856238195756,0.0,1000.0,264.0,8736.0
0.2,ResNet,ship,8,-1.9652297103272682,93.32887961591831,0.0004995004995004995,0.09248972336407066,0.0,1000.0,832.0,8168.0
0.2,ResNet,truck,9,-1.8103922874126872,75.1054530612473,0.0004995004995004995,0.06938117986890345,0.0,1000.0,624.0,8376.0
0.3,ResNet,airplane,0,-1.2692052947906247,29.115474436469714,0.0004995004995004995,0.02160871014331741,0.0,1000.0,194.0,8806.0
0.3,ResNet,automobile,1,-1.3594475889399804,34.80050936703562,0.0004995004995004995,0.02671925341628708,0.0,1000.0,240.0,8760.0
0.3,ResNet,bird,2,-2.3319476740406992,141.88287673971058,0.0004995004995004995,0.16881457615820464,0.0,1000.0,1519.0,7481.0
0.3,ResNet,cat,3,-2.1143647862326853,112.47142247841299,0.0004995004995004995,0.11970892123097433,0.0,1000.0,1077.0,7923.0
0.3,ResNet,deer,4,-2.3511749248442975,144.49621428346663,0.0004995004995004995,0.17370292189756695,0.0,1000.0,1563.0,7437.0
0.3,ResNet,dog,5,-1.6200385903564463,55.64394753415098,0.0004995004995004995,0.04738362404177314,0.0,1000.0,426.0,8574.0
0.3,ResNet,frog,6,-3.071283464125791,219.33777657446237,0.0004995004995004995,0.4131207643595156,0.0,1000.0,3718.0,5282.0
0.3,ResNet,horse,7,-1.200069228534053,25.257275410999025,0.0004995004995004995,0.018275747139206756,0.0,1000.0,164.0,8836.0
0.3,ResNet,ship,8,-1.8045351187570162,74.45574853620363,0.0004995004995004995,0.06860348850127763,0.0,1000.0,617.0,8383.0
0.3,ResNet,truck,9,-1.679948244201156,61.39165669050994,0.0004995004995004995,0.05360515498277969,0.0,1000.0,482.0,8518.0
0.0,ViT,airplane,0,5.292610126121797,0.2535985951684456,0.9915084915084915,0.0018331296522608599,992.0,8.0,16.0,8984.0
0.0,ViT,automobile,1,5.034821462243981,0.2496470451093818,0.9875124875124875,0.0026108210198866793,988.0,12.0,23.0,8977.0
